"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2025-02-01","1834.25","1790.12","2364.3","896.4","9833.75","7892.75"
"2025-03-01","1796.52","2235.53","2350.59","2317.5","9056.75","8858.75"
"2025-04-01","2252.09","2988.06","3813.87","2959.64","6365.83","5573.33"
"2025-05-01","2668.15","3147.08","4431.38","4845.44","10242.65","16606.67"
"2025-06-01","3871.21","4720.48","5534.53","7941.03","11975.95","13354.11"
"2025-07-01","4995.56","7527.69","8520.28","11047.49","14263.6","21716"
"2025-08-01","4976.73","7650.74","9379.32","13062.53","15733.67","22003.18"
"2025-09-01","4008.69","4844.27","5189.81","6844.95","11542.45","10244.27"
"2025-10-01","3999.04","6067.46","6832.11","8277.87","11075.89","18782.64"
"2025-11-01","2026.58","3616.43","3594.32","3068.88","11002.78","13192"
"2025-12-01","1526.27","3108.59","2270.48","4443.43","12107","15836.33"
"2026-01-01","1017","2512.67","1622.92","4365.73","13892.8","3794.57"
"2026-02-01","1187.25","2699.75","1731.45","5740.43","4444.5","3304"
"2026-03-01","1522.2","1675.29","2365.25","3066.15","5922.33","3363.33"
"2026-04-01","1738.27","2515.97","3343.38","2912.4","15070.8","7241.17"
